Kanji,Romaji
一番,ichiban
一つ,hitotsu
一緒,issho
甲乙,kouotsu
早乙女,saotome
乙姫,otohime
九州,kyuushuu
北九州,kitakyuushuu
十中八九,jitchuuhakku
七夕,tanabata
七つ,nanatsu
七不思議,nanafushigi
十分,juubun
不十分,fujuubun
十字架,juujika
人間,ningen
個人,kojin
日本人,nihonjin
丁寧,teinei
丁度,choudo
丁目,choume
太刀打ち,tachiuchi
太刀,tachi
秋刀魚,sanma
二つ,futatsu
二度と,nidoto
二月,nigatsu
入れ,ire
購入,kounyuu
入り,iri
八王子,hachiouji
八百屋,yaoya
四苦八苦,shikuhakku
又は,mataha
又もや,matamoya
終了,shuuryou
完了,kanryou
了承,ryoushou
入力,nyuuryoku
能力,nouryoku
協力,kyouryoku
以下,ika
下さい,kudasai
下記,kaki
若干,jakkan
干し,hoshi
干渉,kanshou
丸い,marui
丸ごと,marugoto
丸く,maruku
久しぶり,hisashiburi
久々,hisabisa
耐久,taikyuu
及び,oyobi
普及,fukyuu
言及,genkyuu
弓道,kyuudou
真弓,mayumi
弓なり,yuminari
頭巾,zukin
雑巾,zoukin
巾着,kinchaku
自己,jiko
利己,riko
自己流,jikoryuu
人口,jinkou
口座,kouza
窓口,madoguchi
工場,koujou
工事,kouji
工夫,kufuu
乞食,kojiki
物乞い,monogoi
雨乞い,amagoi
才能,sainou
天才,tensai
漫才,manzai
三つ,mittsu
三角,sankaku
第三者,daisansha
沢山,takusan
登山,tozan
富士山,fujisan
同士,doushi
博士,hakase
弁護士,bengoshi
子供,kodomo
様子,yousu
原子力,genshiryoku
彼女,kanojo
女性,josei
女の子,onnanoko
小さな,chiisana
小さい,chiisai
小説,shousetsu
以上,ijou
上げ,age
上記,jouki
大丈夫,daijoubu
丈夫,joubu
頑丈,ganjou
刃物,hamono
諸刃,moroha
付け焼刃,tsukeyakiba
寸前,sunzen
寸法,sunpou
一寸,issun
夕方,yuugata
夕食,yuushoku
夕飯,yuuhan
千葉,chiba
千秋楽,senshuuraku
千切り,sengiri
川柳,senryuu
小川,ogawa
川崎,kawasaki
大きな,ookina
大変,taihen
大きく,ookiku
土地,tochi
土曜日,doyoubi
土産,miyage
死亡,shibou
滅亡,metsubou
亡くなる,nakunaru
平凡,heibon
凡人,bonjin
凡庸,bon'you
万が一,mangaichi
万能,bannou
万年筆,mannenhitsu
与え,atae
与える,ataeru
給与,kyuuyo
取引,torihiki
引き,hiki
引用,in'you
日本円,nihon'en
円滑,enkatsu
円形,enkei
王子,ouji
女王,joou
王国,oukoku
変化,henka
文化,bunka
進化,shinka
花火,hanabi
火曜日,kayoubi
火力,karyoku
象牙,zouge
牙城,gajou
毒牙,dokuga
紹介,shoukai
介護,kaigo
介入,kainyuu
稲刈り,inekari
草刈り,kusakari
刈る,karu
牛乳,gyuunyuu
牛肉,gyuuniku
和牛,wagyuu
凶悪,kyouaku
凶暴,kyoubou
元凶,genkyou
斤量,kinryou
地区,chiku
区別,kubetsu
区域,kuiki
欠点,ketten
不可欠,fukaketsu
欠け,kake
ヶ月,kagetsu
今月,kongetsu
３月,sangatsu
愛犬,aiken
子犬,koinu
狛犬,komainu
元気,genki
地元,jimoto
元々,motomoto
幻想,gensou
幻覚,genkaku
幻影,gen'ei
神戸,koube
江戸,edo
戸惑い,tomadoi
五月,satsuki
五輪,gorin
五感,gokan
お互い,otagai
相互,sougo
互換,gokan
午後,gogo
午前,gozen
正午,shougo
公開,koukai
主人公,shujinkou
公園,kouen
勾配,koubai
勾留,kouryuu
瞳孔,doukou
孔子,koushi
孔雀,kujaku
今日,kyou
今回,konkai
今年,kotoshi
支援,shien
支持,shiji
支配,shihai
止め,todome
停止,teishi
禁止,kinshi
彼氏,kareshi
氏名,shimei
同氏,doushi
尺度,shakudo
尺八,shakuhachi
縮尺,shukushaku
相手,aite
選手,senshu
勝手,katte
収録,shuuroku
収入,shuunyuu
収集,shuushuu
一升瓶,isshoubin
少し,sukoshi
少ない,sukunai
もう少し,mousukoshi
冗談,joudan
冗長,jouchou
冗語,jougo
心配,shinpai
中心,chuushin
安心,anshin
杏仁,kyounin
仁王立ち,nioudachi
御仁,gojin
水分,suibun
水道,suidou
清水,shimizu
天井,tenjou
井戸,ido
筒井,tsutsui
大切,taisetsu
切れ,kire
一切,issai
双方,souhou
双子,futago
双方向,souhoukou
太陽,taiyou
太平洋,taiheiyou
太鼓,taiko
丹念,tannen
牡丹,botan
丹精,tansei
中国,chuugoku
途中,tochuu
中心,chuushin
弔い,tomurai
弔辞,chouji
弔問,choumon
爪跡,tsumeato
爪楊枝,tsumayouji
深爪,fukazume
天気,tenki
天然,tennen
天才,tensai
北斗七星,hokutoshichisei
熨斗,noshi
北斗星,hokutosei
駐屯,chuuton
屯所,tonsho
内容,naiyou
国内,kokunai
内部,naibu
匂い,nioi
匂わせる,niowaseru
匂う,niou
日本,nihon
今日,kyou
昨日,kinou
反応,hannou
反対,hantai
反省,hansei
比べ,kurabe
比較,hikaku
比較的,hikakuteki
匹敵,hitteki
一匹狼,ippikiookami
不安,fuan
不思議,fushigi
不足,fusoku
大丈夫,daijoubu
夫婦,fuufu
工夫,kufuu
父親,chichioya
お父さん,otousan
親父,oyaji
仏教,bukkyou
仏語,futsugo
仏像,butsuzou
自分,jibun
部分,bubun
気分,kibun
文字,moji
文化,bunka
文章,bunshou
片付け,katazuke
片手,katate
片方,katahou
方法,houhou
一方,ippou
方々,katagata
貧乏,binbou
乏しい,toboshii
貧乏人,binbounin
木曜日,mokuyoubi
木々,kigi
木曜,mokuyou
脱毛,datsumou
髪の毛,kaminoke
毛穴,keana
厄介,yakkai
厄払い,yakuharai
災厄,saiyaku
友達,tomodachi
友人,yuujin
親友,shin'yuu
予定,yotei
予想,yosou
予約,yoyaku
六角形,rokkakkei
六つ,muttsu
四六時中,shirokujichuu
圧力,atsuryoku
圧倒的,attouteki
電圧,den'atsu
以上,ijou
以外,igai
以前,izen
左右,sayuu
右側,migigawa
右手,migite
永遠,eien
永久,eikyuu
安永,an'ei
凹む,hekomu
凹凸,outotsu
凹み,kubomi
中央,chuuou
中央アジア,chuuouajia
震央,shin'ou
参加,sanka
追加,tsuika
増加,zouka
可能,kanou
可愛い,kawaii
不可能,fukanou
瓦礫,gareki
煉瓦,renga
瓦解,gakai
以外,igai
海外,kaigai
外国,gaikoku
且つ,katsu
刊行,kankou
創刊,soukan
週刊,shuukan
甘い,amai
甘え,amae
甘味,amami
砂丘,sakyuu
丘陵,kyuuryou
比丘,biku
復旧,fukkyuu
旧来,kyuurai
旧作,kyuusaku
過去,kako
去年,kyonen
除去,jokyo
巨大,kyodai
巨人,kyojin
巨額,kyogaku
目玉,medama
埼玉,saitama
玉ねぎ,tamanegi
俳句,haiku
句集,kushuu
文句,monku
兄弟,kyoudai
兄さん,niisan
兄ちゃん,anchan
毛穴,keana
落とし穴,otoshiana
穴場,anaba
玄関,genkan
玄米,genmai
玄人,kurouto
古い,furui
名古屋,nagoya
中古,chuuko
成功,seikou
功績,kouseki
功利,kouri
巧み,takumi
巧妙,koumyou
技巧,gikou
広告,koukoku
広い,hiroi
広く,hiroku
甲斐,kai
甲状腺,koujousen
甲冑,katchuu
番号,bangou
信号,shingou
記号,kigou
書き込み,kakikomi
申し込み,moushikomi
込み,komi
左右,sayuu
左側,hidarigawa
左手,hidarite
冊子,sasshi
短冊,tanzaku
別冊,bessatsu
札幌,sapporo
改札,kaisatsu
入札,nyuusatsu
灰皿,haizara
受け皿,ukezara
小皿,kozara
仕事,shigoto
仕方,shikata
仕様,shiyou
歴史,rekishi
史上,shijou
女史,joshi
上司,joushi
寿司,sushi
司会,shikai
四国,shikoku
四月,yotsuki
四季,shiki
市場,ichiba
市民,shimin
都市,toshi
矢先,yasaki
矢印,yajirushi
矢継ぎ早,yatsugibaya
表示,hyouji
展示,tenji
示し,shimeshi
叱り,shikari
叱咤,shitta
叱責,shisseki
失敗,shippai
失礼,shitsurei
失業,shitsugyou
写真,shashin
描写,byousha
写生,shasei
主義,shugi
主張,shuchou
主人公,shujinkou
囚人,shuujin
囚徒,shuuto
味噌汁,misoshiru
果汁,kajuu
煮汁,nijiru
出来,shuttai
出し,dashi
出来る,dekiru
処理,shori
対処,taisho
何処,doko
召喚,shoukan
召し,meshi
召集,shoushuu
尻尾,shippo
尻目,shirime
目尻,mejiri
申し訳,moushiwake
申請,shinsei
申し込み,moushikomi
世界,sekai
世代,sedai
世の中,yononaka
正直,shoujiki
正しい,tadashii
修正,shuusei
生活,seikatsu
先生,sensei
生き,iki
排斥,haiseki
石油,sekiyu
流石,sasuga
石鹸,sekken
仙台,sendai
歌仙,kasen
仙人,sennin
占い,uranai
独占,dokusen
占める,shimeru
その他,sonohoka
他人,tanin
他者,tasha
打っ,bu
打つ,utsu
打ち合わせ,uchiawase
時代,jidai
代表,daihyou
現代,gendai
舞台,butai
台風,taifuu
仙台,sendai
旦那,danna
一旦,ittan
元旦,gantan
省庁,shouchou
警視庁,keishichou
県庁,kenchou
田舎,inaka
上田,jouden
田んぼ,tanbo
奴隷,dorei
奴ら,yatsura
